seed,graph,metric,value
2,knn_k10,build_seconds,34.94295907020569
2,random_k10,edge_homophily,0.6281868131868132
2,random_k10,adjusted_homophily,-0.001888597612783915
2,random_k10,sender_deg_max,24.0
2,random_k10,sender_deg_skew,0.3292280338614321
2,random_k10,frac_never_sender,7.849293563579278e-05
2,bipartite,agreement[workclass],0.6403427088172619
2,bipartite,agreement[marital-status],0.7032357262713721
2,bipartite,agreement[occupation],0.6693578914231512
2,bipartite,agreement[relationship],0.7056229655898104
2,bipartite,agreement[race],0.6333800854086317
2,bipartite,agreement[sex],0.6455982273595835
2,bipartite,agreement[native-country],0.6310191468716141
2,bipartite,agreement_mean,0.6612223931059178
2,knn_k5,edge_homophily,0.7841993720565149
2,knn_k5,adjusted_homophily,0.4253187423777158
2,knn_k5,sender_deg_max,22.0
2,knn_k5,sender_deg_skew,0.49740455618331797
2,knn_k5,frac_never_sender,0.04697802197802198
2,knn_k5,build_seconds,34.94295907020569
2,knn_k20,edge_homophily,0.7794073783359498
2,knn_k20,adjusted_homophily,0.4166397250630444
2,knn_k20,sender_deg_max,65.0
2,knn_k20,sender_deg_skew,0.46489520348326013
2,knn_k20,frac_never_sender,0.004277864992150706
2,knn_k20,build_seconds,34.94295907020569
2,knn_visible_k5_p0.3,edge_homophily,0.7282005494505495
2,knn_visible_k5_p0.3,adjusted_homophily,0.2810631452071398
2,knn_visible_k5_p0.3,sender_deg_max,22.125
2,knn_visible_k5_p0.3,sender_deg_skew,0.6495571201203574
2,knn_visible_k5_p0.3,frac_never_sender,0.05759909733124019
2,knn_visible_k5_p0.3,build_seconds,152.63293266296387
2,knn_visible_k10_p0.3,edge_homophily,0.7246320643642072
2,knn_visible_k10_p0.3,adjusted_homophily,0.27415136470932266
2,knn_visible_k10_p0.3,sender_deg_max,41.375
2,knn_visible_k10_p0.3,sender_deg_skew,0.6557701795938666
2,knn_visible_k10_p0.3,frac_never_sender,0.01883339874411303
2,knn_visible_k10_p0.3,build_seconds,152.63293266296387
2,knn_visible_k20_p0.3,edge_homophily,0.7210248233908949
2,knn_visible_k20_p0.3,adjusted_homophily,0.26701158078212134
2,knn_visible_k20_p0.3,sender_deg_max,82.875
2,knn_visible_k20_p0.3,sender_deg_skew,0.7128928535720165
2,knn_visible_k20_p0.3,frac_never_sender,0.0044888147566718994
2,knn_visible_k20_p0.3,build_seconds,152.63293266296387
2,chance,label_agreement_by_chance,0.6290351899726199
3,knn_k10,edge_homophily,0.7878571428571428
3,knn_k10,adjusted_homophily,0.43532439154390784
3,knn_k10,sender_deg_max,37.0
3,knn_k10,sender_deg_skew,0.4268750793652652
3,knn_k10,frac_never_sender,0.015463108320251178
3,knn_k10,build_seconds,37.136332988739014
3,random_k10,edge_homophily,0.6307731554160125
3,random_k10,adjusted_homophily,0.0022515762835108523
3,random_k10,sender_deg_max,25.0
3,random_k10,sender_deg_skew,0.3170530644925057
3,random_k10,frac_never_sender,0.0
3,bipartite,agreement[workclass],0.6412357517911058
3,bipartite,agreement[marital-status],0.702853506494982
3,bipartite,agreement[occupation],0.6714240096161913
3,bipartite,agreement[relationship],0.7049976683494378
3,bipartite,agreement[race],0.6332066552275053
3,bipartite,agreement[sex],0.6455491082558713
3,bipartite,agreement[native-country],0.6308021812378336
3,bipartite,agreement_mean,0.661438411567561
3,knn_k5,edge_homophily,0.7886420722135008
3,knn_k5,adjusted_homophily,0.43421136042754505
3,knn_k5,sender_deg_max,20.0
3,knn_k5,sender_deg_skew,0.48725734106638585
3,knn_k5,frac_never_sender,0.04933281004709576
3,knn_k5,build_seconds,37.136332988739014
3,knn_k20,edge_homophily,0.783918759811617
3,knn_k20,adjusted_homophily,0.42695614959122175
3,knn_k20,sender_deg_max,66.0
3,knn_k20,sender_deg_skew,0.45653202845339236
3,knn_k20,frac_never_sender,0.004277864992150706
3,knn_k20,build_seconds,37.136332988739014
3,knn_visible_k5_p0.3,edge_homophily,0.7318308477237048
3,knn_visible_k5_p0.3,adjusted_homophily,0.2887800987295208
3,knn_visible_k5_p0.3,sender_deg_max,21.625
3,knn_visible_k5_p0.3,sender_deg_skew,0.668083010745023
3,knn_visible_k5_p0.3,frac_never_sender,0.05684850863422292
3,knn_visible_k5_p0.3,build_seconds,168.99140000343323
3,knn_visible_k10_p0.3,edge_homophily,0.7285591640502356
3,knn_visible_k10_p0.3,adjusted_homophily,0.2828690382030198
3,knn_visible_k10_p0.3,sender_deg_max,41.875
3,knn_visible_k10_p0.3,sender_deg_skew,0.6622881509709305
3,knn_visible_k10_p0.3,frac_never_sender,0.018122056514913658
3,knn_visible_k10_p0.3,build_seconds,168.99140000343323
3,knn_visible_k20_p0.3,edge_homophily,0.7253174058084773
3,knn_visible_k20_p0.3,adjusted_homophily,0.2767384503524186
3,knn_visible_k20_p0.3,sender_deg_max,78.875
3,knn_visible_k20_p0.3,sender_deg_skew,0.7084814331290947
3,knn_visible_k20_p0.3,frac_never_sender,0.004498626373626373
3,knn_visible_k20_p0.3,build_seconds,168.99140000343323
3,chance,label_agreement_by_chance,0.6290351899726199
4,knn_k10,edge_homophily,0.7864952904238619
4,knn_k10,adjusted_homophily,0.4319922452632881
4,knn_k10,sender_deg_max,36.0
4,knn_k10,sender_deg_skew,0.43572691972244365
4,knn_k10,frac_never_sender,0.016130298273155416
4,knn_k10,build_seconds,36.46160697937012
4,random_k10,edge_homophily,0.629328885400314
4,random_k10,adjusted_homophily,0.001601482092827825
4,random_k10,sender_deg_max,25.0
4,random_k10,sender_deg_skew,0.3380460358767207
4,random_k10,frac_never_sender,3.924646781789639e-05
4,bipartite,agreement[workclass],0.6410032595733927
4,bipartite,agreement[marital-status],0.7023589985818123
4,bipartite,agreement[occupation],0.6709085971768903
4,bipartite,agreement[relationship],0.7049151461433228
4,bipartite,agreement[race],0.6333470520387701
4,bipartite,agreement[sex],0.6458796852965193
4,bipartite,agreement[native-country],0.6310781829163917
4,bipartite,agreement_mean,0.6613558459610142
4,knn_k5,edge_homophily,0.7883045525902669
4,knn_k5,adjusted_homophily,0.43554968880938866
4,knn_k5,sender_deg_max,21.0
4,knn_k5,sender_deg_skew,0.4962114145309098
4,knn_k5,frac_never_sender,0.04772370486656201
4,knn_k5,build_seconds,36.46160697937012
4,knn_k20,edge_homophily,0.7830298273155416
4,knn_k20,adjusted_homophily,0.4250568488408263
4,knn_k20,sender_deg_max,70.0
4,knn_k20,sender_deg_skew,0.46028121926405674
4,knn_k20,frac_never_sender,0.0035714285714285713
4,knn_k20,build_seconds,36.46160697937012
4,knn_visible_k5_p0.3,edge_homophily,0.7311695447409733
4,knn_visible_k5_p0.3,adjusted_homophily,0.28743957146454713
4,knn_visible_k5_p0.3,sender_deg_max,23.5
4,knn_visible_k5_p0.3,sender_deg_skew,0.6657543410118664
4,knn_visible_k5_p0.3,frac_never_sender,0.056637558869701725
4,knn_visible_k5_p0.3,build_seconds,167.10743808746338
4,knn_visible_k10_p0.3,edge_homophily,0.7274632064364207
4,knn_visible_k10_p0.3,adjusted_homophily,0.2800958277023548
4,knn_visible_k10_p0.3,sender_deg_max,43.0
4,knn_visible_k10_p0.3,sender_deg_skew,0.6713984207708044
4,knn_visible_k10_p0.3,frac_never_sender,0.018244701726844587
4,knn_visible_k10_p0.3,build_seconds,167.10743808746338
4,knn_visible_k20_p0.3,edge_homophily,0.7240681416797488
4,knn_visible_k20_p0.3,adjusted_homophily,0.27358936337858414
4,knn_visible_k20_p0.3,sender_deg_max,79.5
4,knn_visible_k20_p0.3,sender_deg_skew,0.7214917311196938
4,knn_visible_k20_p0.3,frac_never_sender,0.004518249607535323
4,knn_visible_k20_p0.3,build_seconds,167.10743808746338
4,chance,label_agreement_by_chance,0.6290351899726199
