seed,method,metric,value
0,sage_knn,knn_pos_p10,0.5611961722488038
0,sage_knn,base_rate,0.2460560395573346
0,sage_knn,recon_num_mse,0.013632148504257202
0,sage_knn,recon_cat_acc,0.9955263137817383
0,sage_knn,masked_num_mse,0.866331160068512
0,sage_knn,masked_cat_acc,0.7045698165893555
0,sage_knn,n_params,9552.0
0,sage_knn,best_step,2000.0
0,sage_knn,train_seconds,187.57093572616577
0,sage_knn,dim,16.0
0,sage_bip,probe_auc,0.8860584293907217
0,sage_bip,probe_ap,0.7295213646704581
0,sage_bip,probe_acc,0.83647280433247
0,sage_bip,probe_C,100.0
0,sage_bip,lowlabel_auc@50,0.8225842289059768
0,sage_bip,lowlabel_auc@200,0.86068898326106
0,sage_bip,lowlabel_auc@1000,0.8809590783571272
0,sage_bip,knn_auc,0.8838165590285976
0,sage_bip,knn_pos_p10,0.5676076555023923
0,sage_bip,base_rate,0.2460560395573346
0,sage_bip,recon_num_mse,0.005859603639692068
0,sage_bip,recon_cat_acc,0.993995726108551
0,sage_bip,masked_num_mse,0.8496417999267578
0,sage_bip,masked_cat_acc,0.7009101510047913
0,sage_bip,n_params,14736.0
0,sage_bip,best_step,2000.0
0,sage_bip,train_seconds,175.32113456726074
0,sage_bip,dim,16.0
0,sage_bip_nopool,probe_auc,0.8902462650436778
0,sage_bip_nopool,probe_ap,0.7349000624835567
0,sage_bip_nopool,probe_acc,0.83647280433247
0,sage_bip_nopool,probe_C,100.0
0,sage_bip_nopool,lowlabel_auc@50,0.8335022855033785
0,sage_bip_nopool,lowlabel_auc@200,0.8646679706762221
0,sage_bip_nopool,lowlabel_auc@1000,0.8852374973476506
0,sage_bip_nopool,knn_auc,0.883961205466679
0,sage_bip_nopool,knn_pos_p10,0.5649282296650717
0,sage_bip_nopool,base_rate,0.2460560395573346
0,sage_bip_nopool,recon_num_mse,0.005594189744442701
0,sage_bip_nopool,recon_cat_acc,0.9934407472610474
0,sage_bip_nopool,masked_num_mse,0.8503755331039429
0,sage_bip_nopool,masked_cat_acc,0.7032566666603088
0,sage_bip_nopool,n_params,14736.0
0,sage_bip_nopool,best_step,1950.0
0,sage_bip_nopool,train_seconds,170.63427639007568
0,sage_bip_nopool,dim,16.0
0,sage_knn_k5,probe_auc,0.8770747349891963
0,sage_knn_k5,probe_ap,0.7095971464000085
0,sage_knn_k5,probe_acc,0.8335295502707794
0,sage_knn_k5,probe_C,10.0
0,sage_knn_k5,lowlabel_auc@50,0.8116597095415843
0,sage_knn_k5,lowlabel_auc@200,0.8476245670319686
0,sage_knn_k5,lowlabel_auc@1000,0.8722204087457301
0,sage_knn_k5,knn_auc,0.8839209345833494
0,sage_knn_k5,knn_pos_p10,0.5592344497607655
0,sage_knn_k5,base_rate,0.2460560395573346
0,sage_knn_k5,recon_num_mse,0.010541827417910099
0,sage_knn_k5,recon_cat_acc,0.9950217008590698
0,sage_knn_k5,masked_num_mse,0.8605672121047974
0,sage_knn_k5,masked_cat_acc,0.708836019039154
0,sage_knn_k5,n_params,9552.0
0,sage_knn_k5,best_step,1950.0
0,sage_knn_k5,train_seconds,156.4862723350525
0,sage_knn_k5,dim,16.0
0,sage_knn_k20,probe_auc,0.8796637269170883
0,sage_knn_k20,probe_ap,0.7099319313783864
0,sage_knn_k20,probe_acc,0.8312926771838945
0,sage_knn_k20,probe_C,0.01
0,sage_knn_k20,lowlabel_auc@50,0.8089481230331522
0,sage_knn_k20,lowlabel_auc@200,0.8510480553422054
0,sage_knn_k20,lowlabel_auc@1000,0.8750290600372376
0,sage_knn_k20,knn_auc,0.8851993670224052
0,sage_knn_k20,knn_pos_p10,0.5635406698564593
0,sage_knn_k20,base_rate,0.2460560395573346
0,sage_knn_k20,recon_num_mse,0.011010930873453617
0,sage_knn_k20,recon_cat_acc,0.9957616925239563
