seed,method,step,train_loss,val_loss
0,mlp_ae,50,1.3143060207366943,1.3082866668701172
0,mlp_ae,100,1.0139703750610352,1.0127930641174316
0,mlp_ae,150,0.8550664186477661,0.8485624194145203
0,mlp_ae,200,0.7502463459968567,0.7470451593399048
0,mlp_ae,250,0.6905415654182434,0.6945275068283081
0,mlp_ae,300,0.6493499279022217,0.6516919136047363
0,mlp_ae,350,0.6228594183921814,0.6226874589920044
0,mlp_ae,400,0.6034704446792603,0.6033443212509155
0,mlp_ae,450,0.5818636417388916,0.5882666110992432
0,mlp_ae,500,0.5752215385437012,0.5810865163803101
0,mlp_ae,550,0.5697913765907288,0.5700026750564575
0,mlp_ae,600,0.5647090673446655,0.5647543668746948
0,mlp_ae,650,0.5556042790412903,0.5603876113891602
0,mlp_ae,700,0.551356852054596,0.557416558265686
0,mlp_ae,750,0.549063503742218,0.5510510206222534
0,mlp_ae,800,0.549858033657074,0.5480950474739075
0,mlp_ae,850,0.5392462015151978,0.5471029877662659
0,mlp_ae,900,0.5375669002532959,0.5425685048103333
0,mlp_ae,950,0.5419966578483582,0.5440046787261963
0,mlp_ae,1000,0.5405898094177246,0.541810929775238
0,mlp_ae,1050,0.5298771858215332,0.5382416248321533
0,mlp_ae,1100,0.532541036605835,0.5389475226402283
0,mlp_ae,1150,0.5357265472412109,0.537881076335907
0,mlp_ae,1200,0.5342373847961426,0.5352615118026733
0,mlp_ae,1250,0.5238586664199829,0.5329086780548096
0,mlp_ae,1300,0.5256105661392212,0.5317691564559937
0,mlp_ae,1350,0.5281937122344971,0.5321115851402283
0,mlp_ae,1400,0.5270299315452576,0.5277506113052368
0,mlp_ae,1450,0.5213475227355957,0.5298550724983215
0,mlp_ae,1500,0.5213875770568848,0.527787983417511
0,mlp_ae,1550,0.5286774635314941,0.5340108275413513
0,mlp_ae,1600,0.5255320072174072,0.5262629985809326
0,mlp_ae,1650,0.5171785950660706,0.5264643430709839
0,mlp_ae,1700,0.5176355838775635,0.5246521234512329
0,mlp_ae,1750,0.5189706087112427,0.5227111577987671
0,mlp_ae,1800,0.5199713110923767,0.5222365856170654
0,mlp_ae,1850,0.5138925313949585,0.5233721733093262
0,mlp_ae,1900,0.5152971744537354,0.5224416255950928
0,mlp_ae,1950,0.5171652436256409,0.5220898389816284
0,mlp_ae,2000,0.5212423205375671,0.523804783821106
0,sage_selfloop,50,1.1702232360839844,1.1618062257766724
0,sage_selfloop,100,0.9123187065124512,0.9077550172805786
0,sage_selfloop,150,0.722139835357666,0.7203842401504517
0,sage_selfloop,200,0.6575878858566284,0.6554967164993286
0,sage_selfloop,250,0.6215345859527588,0.628743052482605
0,sage_selfloop,300,0.6009199619293213,0.6044219732284546
0,sage_selfloop,350,0.5819127559661865,0.5872834324836731
0,sage_selfloop,400,0.5731360912322998,0.5750516653060913
0,sage_selfloop,450,0.5577788352966309,0.5665391683578491
0,sage_selfloop,500,0.5495824813842773,0.5572123527526855
0,sage_selfloop,550,0.5482469797134399,0.5518568754196167
0,sage_selfloop,600,0.5534559488296509,0.5537936687469482
0,sage_selfloop,650,0.5366120338439941,0.5439127683639526
0,sage_selfloop,700,0.5362603068351746,0.5461532473564148
0,sage_selfloop,750,0.5383905172348022,0.5409342050552368
0,sage_selfloop,800,0.5382577180862427,0.5395697355270386
0,sage_selfloop,850,0.5300700664520264,0.5394485592842102
0,sage_selfloop,900,0.5266748666763306,0.5364249348640442
0,sage_selfloop,950,0.529881477355957,0.5346508026123047
0,sage_selfloop,1000,0.543547511100769,0.5506128072738647
0,sage_selfloop,1050,0.5214078426361084,0.532058835029602
0,sage_selfloop,1100,0.5221529006958008,0.5322762131690979
